count,date,title,description,org_link,link
253,2024-08-13 13:14:00,"KT, 경북지역 중소기업의 디지털전환으로 기업경영애로 해소 나서","이에, KT는 중소기업중앙회와의 긴밀한 협력을 통해 기업 경쟁력 확보에 필수인 에너지 솔루션 공급과 AICT(<b>인공지능</b>+통신기술) 기반 디지털 전환을 적극 지원한다는 방침이다. 특히 자율주행 AI 로봇으로 물류 자동화... ",https://www.wikitree.co.kr/articles/975066,https://www.wikitree.co.kr/articles/975066
254,2024-08-13 13:14:00,하이브리드 AI 시대…&quot;아마존 베드록으로 똑똑하게 골라 쓴다&quot;,아마존웹서비스(AWS)의 생성형 <b>인공지능</b>(AI) 플랫폼 '아마존 베드록'이 한 단계 진화했다. 실행 능력과 안전성을 강화해 기업용 AI 시장 공략에 속도를 낸다. AWS코리아는 13일 역삼동 센터필드 이스트에서 'AWS 2024... ,https://view.asiae.co.kr/article/2024081313145498515,https://n.news.naver.com/mnews/article/277/0005458581?sid=105
255,2024-08-13 13:14:00,김성태 행장 &quot;문화예술 통한 사회공헌사업에 앞장설 것&quot;,출력된 이미지는 <b>인공지능</b>이 학습해 만들어낸 가상의 이미지로 SNS 매체에 포스팅된 게시물의 텍스트나 픽셀을 상호 모방해 이미지를 변형한 결과물이다. 김성태 행장은 &quot;IBK 아트 스테이션 2024를 통해 역량 있는... ,http://www.issuenbiz.com/news/articleView.html?idxno=47444,http://www.issuenbiz.com/news/articleView.html?idxno=47444
256,2024-08-13 13:12:00,무더위에 전력 총수요 102GW… 역대 최고치 경신,"제11차 전력수급기본계획(전기본) 총괄위원회는 지난 5월 공개한 11차 전기본 초안을 통해 <b>인공지능</b>(AI) 확산, 반도체 클러스터 조성 등으로 2038년까지 16.7GW의 전력수요 추가 요인이 있을 것으로 예측했다. /김민솔... ",https://www.asiatime.co.kr/article/20240813500214,https://www.asiatime.co.kr/article/20240813500214
257,2024-08-13 13:12:00,"하나은행-KAIST, 금융권 최초 'AI 상업용 부동산 시장예측 모델' 개발",#하나은행 #하나 AI CRP #부동산 시장 예측 하나은행 부동산 투자자문팀은 한국과학기술원(KAIST) 김우창 교수 연구팀과 <b>인공지능</b>(AI) 기술을 기반으로 한 상업용 부동산 시장 예측 모델인 '하나 AI CRP' 서비스를... ,http://www.techholic.co.kr/news/articleView.html?idxno=213594,http://www.techholic.co.kr/news/articleView.html?idxno=213594
258,2024-08-13 13:12:00,"카카오엔터프라이즈 &quot;AICC 센터플로우, 스타트업 성장 견인&quot;","카카오엔터프라이즈가 카카오클라우드 기반의 AICC(<b>인공지능</b> 컨택센터) 센터플로우를 이용하는 브랜드 가구, 건축자재, 스크린골프 플랫폼 등 다양한 스타트업들의 비즈니스 성장 견인에 AI·클라우드 기술로 기여하고... ",http://www.seoulfn.com/news/articleView.html?idxno=529360,http://www.seoulfn.com/news/articleView.html?idxno=529360
259,2024-08-13 13:12:00,"샌즈랩-로그프레소, 미래 사이버 보안 시장 위한 차세대 AI 기반 XDR 개발",기자] <b>인공지능</b>(AI) 기반 사이버 위협 인텔리전스(CTI) 전문기업 샌즈랩(대표 김기홍)은 지난 8일 클라우드 SIEM 전문기업 로그프레소와 ‘<b>인공지능</b> 기반 차세대 XDR(Extended Detection and Response) 개발을 위한 업무 협약’을... ,http://www.boannews.com/media/view.asp?idx=132006&kind=,http://www.boannews.com/media/view.asp?idx=132006&kind=
260,2024-08-13 13:11:00,'2024년 DMC 빅데이터 아이디어 오디션' 성료,"DBI2024은 빅데이터/<b>인공지능</b>/로봇 분야의 주제로 참가 자격에 제한 없이 모집했다. 서류 심사 후 본선에 총 10개팀이 선정됐으며, 5개 팀이 최종 선정됐다. 최종발표에서 아이디어의 독창성 및 사업화 가능성여부... ",https://www.etnews.com/20240813000170,https://n.news.naver.com/mnews/article/030/0003231299?sid=101
261,2024-08-13 13:10:00,"한화운용, '한·미·일' 3개국 공략 PLUS ETF 출시","'PLUS글로벌AI인프라'는 <b>인공지능</b>(AI) 인프라의 기반이 되는 그래픽처리장치(GPU)·AI가속기를 제조하는 엔비디아에 25%를 투자하며, AI데이터센터에 사용되는 'AI서버&amp;네트워크', '전력인프라', '냉각 시스템'에... ",https://www.newsway.co.kr/news/view?ud=2024081311563681450,https://www.newsway.co.kr/news/view?ud=2024081311563681450
262,2024-08-13 13:10:00,"대구가톨릭대, 고교생 대상 미래 모빌리티 썸머캠프 개최","RIS 모비릴티디지털전환사업단은 전문 인재 양성과 기술 고도화를 목표로 △기계, <b>인공지능</b>-소프트웨어, 전자, 디자인 분야의 융합 교육 △개방형 메타버스 기반 모빌리티 교육시스템 구축 △지역 기업 및 연구기관과... ",https://www.kbmaeil.com/news/articleView.html?idxno=1007451,https://www.kbmaeil.com/news/articleView.html?idxno=1007451
263,2024-08-13 13:10:00,"S2W, ‘금융 보안 TF’ 출범한다... “금융업 특화 AI-보안 전문팀 발족”",기술과 <b>인공지능</b>을 기반으로 한 ‘금융업계 특화 전문 TF’가 출범한다. AI 및 보안 전문 데이터 인텔리전스 기업 S2W(대표 서상덕)는 금융 시장에서 필요로 하는 보안 솔루션 개발 및 데이터 위협 감지에 최적화된 금융... ,http://www.boannews.com/media/view.asp?idx=132005&kind=,http://www.boannews.com/media/view.asp?idx=132005&kind=
264,2024-08-13 13:10:00,"KT, 경북지역 중소기업 디지털전환 지원",협약에 따라 양 기관은 경북지역 중소기업의 성장발전을 위해  중소기업중앙회 지원사업 활성화  디지털 전환 인프라 지원  <b>인공지능</b>(AI)을 활용한 물류 자동화 환경 조성  운영 비용 절감을 통한 수익성 향상 등에... ,http://www.koit.co.kr/news/articleView.html?idxno=124618,http://www.koit.co.kr/news/articleView.html?idxno=124618
265,2024-08-13 13:10:00,"경기도, <b>인공지능</b> 활용 성평등 캠페인 영상 제작","경기도는 출생률 저하와 결혼 및 출산 기피 문제에 대응하기 위해 결혼, 출산, 양육을 주제로 한 성평등 캠페인 영상을 <b>인공지능</b>(AI) 기술로 제작해 배포한다고 13일 밝혔다. 생성형 <b>인공지능</b> 프로그램을 통해 만든... ",http://www.shinailbo.co.kr/news/articleView.html?idxno=1916895,http://www.shinailbo.co.kr/news/articleView.html?idxno=1916895
266,2024-08-13 13:10:00,"버티브, 차세대 UPS 주도 ··· AI·HPC 고가용성 보장",<b>인공지능</b>(AI) 및 고성능 컴퓨팅(HPC)의 컴퓨팅 및 냉각 요구사항 증가로 인해 전 세계 데이터센터의 전력 수요가 2026년에 2022년 대비 2배 이상 증가할 전망이다. 이에 AI 컴퓨팅을 실행하는 GPU는 물론 CPU의 지속적인... ,https://www.datanet.co.kr/news/articleView.html?idxno=195718,https://www.datanet.co.kr/news/articleView.html?idxno=195718
